0    112
1    148
2    229
3    338
4    479
5    648
6    732
7    919
8    1102
9    1256
10    1393
11    1518
12    1629
13    1739
14    1847
15    1954
16    2058
17    2148
18    2225
19    2293
20    2347
21    2398
22    2442
23    2427
24    2421
25    2356
26    2281
27    2212
28    2143
29    2036
30    1970
31    1893
32    1863
33    1818
34    1755
35    1647
36    1554
37    1401
38    1245
39    1086
40    937
41    785
42    664
43    550
44    497
45    447
46    401
47    362
48    330
49    270
