0    117
1    164
2    244
3    347
4    466
5    605
6    667
7    828
8    970
9    1097
10    1215
11    1332
12    1439
13    1531
14    1617
15    1706
16    1769
17    1826
18    1874
19    1922
20    1968
21    2009
22    2047
23    2118
24    2134
25    2131
26    2116
27    2096
28    2076
29    2046
30    1991
31    1991
32    2010
33    2036
34    2063
35    2119
36    2083
37    2052
38    1976
39    1825
40    1651
41    1440
42    1176
43    984
44    729
45    511
46    362
47    231
48    135
49    58
