0    125
1    189
2    303
3    455
4    641
5    865
6    1025
7    1284
8    1524
9    1736
10    1935
11    2090
12    2220
13    2320
14    2398
15    2429
16    2418
17    2344
18    2273
19    2183
20    2071
21    1948
22    1849
23    1762
24    1714
25    1669
26    1629
27    1604
28    1584
29    1572
30    1567
31    1561
32    1559
33    1563
34    1549
35    1541
36    1480
37    1411
38    1322
39    1219
40    1103
41    1007
42    884
43    802
44    703
45    624
46    545
47    437
48    324
49    236
