0    135
1    230
2    386
3    589
4    839
5    1136
6    1353
7    1660
8    1933
9    2163
10    2348
11    2490
12    2580
13    2641
14    2665
15    2661
16    2653
17    2621
18    2565
19    2491
20    2416
21    2339
22    2258
23    2133
24    1994
25    1877
26    1746
27    1620
28    1503
29    1387
30    1299
31    1247
32    1168
33    1111
34    1057
35    996
36    935
37    870
38    802
39    754
40    696
41    632
42    575
43    518
44    470
45    392
46    307
47    240
48    181
49    127
