0    126
1    204
2    326
3    488
4    681
5    905
6    1066
7    1320
8    1539
9    1725
10    1886
11    2040
12    2179
13    2290
14    2390
15    2479
16    2565
17    2654
18    2704
19    2704
20    2653
21    2593
22    2525
23    2449
24    2351
25    2262
26    2205
27    2213
28    2140
29    2059
30    1970
31    1885
32    1755
33    1618
34    1420
35    1317
36    1146
37    964
38    736
39    558
40    389
41    258
42    114
43    48
44    1
45    0
46    0
47    0
48    0
49    0
