0    129
1    210
2    352
3    540
4    770
5    1040
6    1248
7    1549
8    1820
9    2053
10    2269
11    2461
12    2616
13    2734
14    2814
15    2857
16    2874
17    2833
18    2781
19    2672
20    2552
21    2437
22    2332
23    2193
24    2069
25    1937
26    1829
27    1705
28    1586
29    1467
30    1386
31    1268
32    1145
33    1054
34    967
35    879
36    792
37    698
38    650
39    609
40    546
41    498
42    453
43    408
44    366
45    325
46    278
47    241
48    196
49    153
