0    132
1    217
2    370
3    566
4    806
5    1077
6    1285
7    1581
8    1851
9    2074
10    2280
11    2448
12    2581
13    2694
14    2775
15    2841
16    2859
17    2849
18    2848
19    2825
20    2735
21    2650
22    2506
23    2376
24    2237
25    2073
26    1929
27    1832
28    1720
29    1647
30    1579
31    1522
32    1463
33    1325
34    1175
35    1030
36    882
37    711
38    544
39    362
40    263
41    179
42    112
43    56
44    31
45    2
46    0
47    0
48    0
49    0
