0    118
1    174
2    273
3    403
4    549
5    714
6    800
7    985
8    1149
9    1281
10    1385
11    1473
12    1534
13    1578
14    1607
15    1622
16    1637
17    1654
18    1681
19    1723
20    1773
21    1828
22    1887
23    1936
24    1994
25    1985
26    1945
27    1889
28    1819
29    1743
30    1663
31    1572
32    1536
33    1534
34    1500
35    1471
36    1432
37    1384
38    1328
39    1269
40    1195
41    1152
42    1106
43    1065
44    1034
45    1025
46    947
47    866
48    780
49    698
