0    131
1    203
2    335
3    505
4    717
5    966
6    1148
7    1406
8    1623
9    1795
10    1944
11    2071
12    2180
13    2271
14    2376
15    2493
16    2610
17    2734
18    2818
19    2857
20    2871
21    2834
22    2781
23    2665
24    2520
25    2390
26    2263
27    2144
28    1992
29    1807
30    1658
31    1510
32    1363
33    1223
34    1025
35    884
36    776
37    676
38    577
39    478
40    390
41    357
42    320
43    282
44    243
45    205
46    163
47    121
48    84
49    57
