0    9875
1    9824
2    9730
3    9613
4    9473
5    9309
6    9217
7    9028
8    8846
9    8707
10    8578
11    8456
12    8341
13    8238
14    8152
15    8079
16    7979
17    7921
18    7897
19    7888
20    7890
21    7893
22    7904
23    7959
24    7987
25    7999
26    8017
27    8054
28    8100
29    8149
30    8188
31    8229
32    8273
33    8319
34    8370
35    8421
36    8489
37    8556
38    8624
39    8693
40    8761
41    8815
42    8856
43    8948
44    9041
45    9130
46    9239
47    9368
48    9516
49    9675
