0    125
1    187
2    292
3    432
4    606
5    809
6    946
7    1185
8    1409
9    1621
10    1825
11    2012
12    2183
13    2340
14    2481
15    2622
16    2718
17    2768
18    2812
19    2813
20    2789
21    2747
22    2677
23    2585
24    2480
25    2359
26    2264
27    2188
28    2098
29    1965
30    1861
31    1733
32    1597
33    1462
34    1308
35    1124
36    974
37    821
38    719
39    613
40    469
41    329
42    240
43    166
44    102
45    43
46    1
47    0
48    0
49    0
