0    125
1    201
2    329
3    496
4    711
5    959
6    1121
7    1380
8    1607
9    1802
10    1979
11    2130
12    2266
13    2407
14    2542
15    2636
16    2712
17    2765
18    2812
19    2809
20    2791
21    2738
22    2696
23    2652
24    2555
25    2446
26    2338
27    2215
28    2113
29    1985
30    1848
31    1712
32    1486
33    1285
34    1091
35    892
36    726
37    560
38    446
39    397
40    340
41    275
42    210
43    149
44    97
45    47
46    18
47    3
48    0
49    0
