0    9878
1    9824
2    9713
3    9567
4    9393
5    9190
6    9055
7    8825
8    8607
9    8443
10    8306
11    8184
12    8111
13    8074
14    8055
15    8072
16    8096
17    8124
18    8151
19    8171
20    8185
21    8215
22    8228
23    8233
24    8239
25    8255
26    8253
27    8250
28    8228
29    8203
30    8167
31    8163
32    8163
33    8192
34    8243
35    8299
36    8398
37    8516
38    8629
39    8776
40    8905
41    9034
42    9161
43    9254
44    9348
45    9424
0    9875
1    9819
2    9717
3    9581
4    9414
5    9208
6    9076
7    8845
8    8625
9    8430
10    8246
11    8074
12    7914
13    7778
14    7638
15    7527
16    7429
17    7348
18    7292
19    7277
20    7272
21    7300
22    7344
23    7399
24    7455
25    7510
26    7551
27    7588
28    7626
29    7718
30    7860
31    8004
32    8196
33    8402
34    8634
35    8883
36    9072
37    9200
38    9380
39    9514
40    9648
41    9752
42    9833
43    9895
44    9965
45    9986
46    10000
47    10000
48    10000
49    10000
0    9880
1    9826
2    9717
3    9570
4    9385
5    9156
6    8997
7    8738
8    8500
9    8298
10    8120
11    7966
12    7837
13    7740
14    7646
15    7550
16    7478
17    7413
18    7359
19    7318
20    7266
21    7259
22    7266
23    7298
24    7348
25    7424
26    7523
27    7640
28    7746
29    7861
30    7948
31    8095
32    8267
33    8450
34    8632
35    8793
36    8999
37    9261
38    9454
39    9599
40    9716
41    9825
42    9938
43    9998
44    10000
45    10000
46    10000
47    10000
48    10000
49    10000
0    9886
1    9847
2    9764
3    9652
4    9511
5    9341
6    9244
7    9040
8    8841
9    8661
10    8509
11    8381
12    8264
13    8192
14    8133
15    8087
16    8054
17    8014
18    7995
19    7992
20    7970
21    7954
22    7940
23    7941
24    7948
25    7937
26    7924
27    7909
28    7901
29    7892
30    7879
31    7918
32    7981
33    8076
34    8181
35    8287
36    8408
37    8530
38    8610
39    8700
40    8811
41    8923
42    9031
43    9141
44    9279
45    9414
46    9514
47    9592
48    9681
49    9768
0    9867
1    9778
2    9632
3    9441
4    9202
5    8914
6    8688
7    8357
8    8055
9    7778
10    7526
11    7303
12    7144
13    7041
14    6969
15    6899
16    6902
17    6935
18    6996
19    7083
20    7158
21    7234
22    7362
23    7464
24    7556
25    7714
26    7848
27    7983
28    8180
29    8367
30    8558
31    8783
32    8946
33    9113
34    9283
35    9427
36    9557
37    9673
38    9759
39    9839
40    9898
41    9947
42    9966
43    9982
44    9993
45    10000
46    10000
47    10000
48    10000
49    10000
0    9888
1    9848
2    9766
3    9655
4    9512
5    9341
6    9235
7    9016
8    8793
9    8600
10    8417
11    8242
12    8071
13    7910
14    7768
15    7674
16    7595
17    7533
18    7474
19    7470
20    7521
21    7593
22    7650
23    7728
24    7808
25    7938
26    8042
27    8109
28    8208
29    8313
30    8394
31    8486
32    8562
33    8642
34    8733
35    8786
36    8837
37    8895
38    8946
39    8989
40    9025
41    9076
42    9118
43    9192
44    9273
45    9361
46    9449
47    9538
48    9612
49    9690
0    9881
1    9834
2    9741
3    9620
4    9469
5    9284
6    9169
7    8959
8    8754
9    8571
10    8396
11    8247
12    8127
13    8038
14    7965
15    7906
16    7873
17    7853
18    7828
19    7798
20    7761
21    7715
22    7669
23    7637
24    7607
25    7656
26    7727
27    7810
28    7948
29    8117
30    8273
31    8442
32    8547
33    8644
34    8739
35    8792
36    8828
37    8864
38    8898
39    8929
40    8963
41    9004
42    9038
43    9121
44    9206
45    9295
46    9389
47    9480
48    9579
49    9702
0    9872
1    9799
2    9686
3    9539
4    9354
5    9136
6    8980
7    8731
8    8501
9    8286
10    8083
11    7898
12    7711
13    7582
14    7467
15    7377
16    7312
17    7257
18    7208
19    7201
20    7192
21    7228
22    7277
23    7339
24    7421
25    7526
26    7668
27    7834
28    7964
29    8088
30    8188
31    8403
32    8618
33    8793
34    8930
35    9070
36    9199
37    9375
38    9433
39    9486
40    9542
41    9611
42    9680
43    9759
44    9814
45    9864
46    9910
47    9949
48    9971
49    9988
0    9883
1    9836
2    9756
3    9653
4    9534
5    9395
6    9333
7    9172
8    9030
9    8903
10    8785
11    8668
12    8561
13    8469
14    8383
15    8294
16    8231
17    8174
18    8126
19    8078
20    8032
21    7991
22    7953
23    7882
24    7866
25    7869
26    7884
27    7904
28    7924
29    7954
30    8009
31    8009
32    7990
33    7964
34    7937
35    7881
36    7917
37    7948
38    8024
39    8175
40    8349
41    8560
42    8824
43    9016
44    9271
45    9489
46    9638
47    9769
48    9865
49    9942
0    9875
1    9813
2    9708
3    9568
4    9394
5    9191
6    9054
7    8815
8    8591
9    8379
10    8175
11    7988
12    7817
13    7660
14    7519
15    7378
16    7282
17    7232
18    7188
19    7187
20    7211
21    7253
22    7323
23    7415
24    7520
25    7641
26    7736
27    7812
28    7902
29    8035
30    8139
31    8267
32    8403
33    8538
34    8692
35    8876
36    9026
37    9179
38    9281
39    9387
40    9531
41    9671
42    9760
43    9834
44    9898
45    9957
46    9999
47    10000
48    10000
49    10000
0    9874
1    9796
2    9659
3    9474
4    9250
5    8980
6    8767
7    8459
8    8183
9    7946
10    7736
11    7543
12    7363
13    7239
14    7167
15    7110
16    7063
17    7072
18    7105
19    7164
20    7192
21    7198
22    7271
23    7370
24    7489
25    7608
26    7748
27    7946
28    8206
29    8417
30    8621
31    8774
32    8934
33    9088
34    9210
35    9246
36    9331
37    9414
38    9498
39    9573
40    9659
41    9746
42    9850
43    9892
44    9927
45    9957
46    9987
47    9998
48    10000
49    10000
0    9873
1    9799
2    9673
3    9505
4    9297
5    9044
6    8858
7    8592
8    8348
9    8131
10    7961
11    7832
12    7755
13    7719
14    7682
15    7694
16    7739
17    7778
18    7815
19    7842
20    7857
21    7877
22    7887
23    7885
24    7863
25    7900
26    7940
27    7987
28    8037
29    8050
30    8137
31    8251
32    8313
33    8385
34    8468
35    8560
36    8681
37    8735
38    8769
39    8901
40    9048
41    9215
42    9379
43    9541
44    9700
45    9873
46    9942
47    9986
48    9996
49    10000
0    9856
1    9743
2    9557
3    9318
4    9023
5    8666
6    8365
7    7994
8    7690
9    7444
10    7236
11    7089
12    7024
13    7024
14    7035
15    7070
16    7133
17    7212
18    7287
19    7384
20    7506
21    7636
22    7750
23    7845
24    7971
25    8119
26    8242
27    8325
28    8407
29    8488
30    8577
31    8643
32    8717
33    8795
34    8931
35    9072
36    9259
37    9444
38    9620
39    9765
40    9889
41    9949
42    10000
43    10000
44    10000
45    10000
46    10000
47    10000
48    10000
49    10000
0    9879
1    9822
2    9712
3    9570
4    9399
5    9197
6    9061
7    8820
8    8589
9    8376
10    8186
11    8023
12    7888
13    7775
14    7689
15    7613
16    7567
17    7542
18    7520
19    7503
20    7525
21    7549
22    7581
23    7616
24    7642
25    7669
26    7705
27    7736
28    7784
29    7906
30    8049
31    8204
32    8368
33    8528
34    8675
35    8809
36    8892
37    8961
38    9024
39    9050
40    9184
41    9328
42    9470
43    9597
44    9719
45    9832
46    9971
47    9995
48    10000
49    10000
0    9880
1    9828
2    9720
3    9573
4    9387
5    9163
6    8999
7    8748
8    8504
9    8300
10    8115
11    7943
12    7811
13    7726
14    7627
15    7573
16    7517
17    7495
18    7498
19    7538
20    7591
21    7671
22    7737
23    7824
24    7904
25    7987
26    8043
27    8083
28    8123
29    8188
30    8250
31    8330
32    8411
33    8502
34    8607
35    8713
36    8792
37    8875
38    8921
39    9023
40    9116
41    9180
42    9295
43    9415
44    9535
45    9672
46    9751
47    9827
48    9914
49    9943
0    9869
1    9797
2    9665
3    9495
4    9283
5    9034
6    8852
7    8594
8    8377
9    8205
10    8056
11    7929
12    7820
13    7729
14    7624
15    7507
16    7390
17    7266
18    7182
19    7143
20    7129
21    7166
22    7219
23    7335
24    7480
25    7610
26    7737
27    7856
28    8008
29    8193
30    8342
31    8490
32    8637
33    8777
34    8975
35    9116
36    9224
37    9324
38    9423
39    9522
40    9610
41    9643
42    9680
43    9718
44    9757
45    9795
46    9837
47    9879
48    9916
49    9943
0    9868
1    9785
2    9630
3    9427
4    9171
5    8863
6    8598
7    8246
8    7921
9    7652
10    7407
11    7221
12    7079
13    6992
14    6948
15    6978
16    7050
17    7152
18    7268
19    7416
20    7575
21    7714
22    7817
23    7902
24    7988
25    8064
26    8127
27    8193
28    8277
29    8350
30    8444
31    8555
32    8663
33    8810
34    8975
35    9123
36    9277
37    9413
38    9535
39    9654
40    9727
41    9775
42    9824
43    9872
44    9909
45    9936
46    9959
47    9978
48    9992
49    10000
0    9872
1    9803
2    9677
3    9506
4    9293
5    9044
6    8867
7    8592
8    8319
9    8097
10    7904
11    7753
12    7623
13    7511
14    7412
15    7354
16    7294
17    7249
18    7185
19    7163
20    7161
21    7159
22    7235
23    7342
24    7451
25    7629
26    7789
27    7932
28    8122
29    8232
30    8356
31    8503
32    8608
33    8732
34    8900
35    9040
36    9211
37    9353
38    9476
39    9595
40    9691
41    9753
42    9814
43    9850
44    9881
45    9911
46    9937
47    9958
48    9976
49    9989
0    9865
1    9770
2    9614
3    9411
4    9161
5    8864
6    8647
7    8340
8    8067
9    7837
10    7652
11    7510
12    7420
13    7359
14    7335
15    7339
16    7347
17    7379
18    7435
19    7509
20    7584
21    7661
22    7742
23    7867
24    8006
25    8123
26    8254
27    8380
28    8497
29    8613
30    8701
31    8753
32    8832
33    8889
34    8943
35    9004
36    9065
37    9130
38    9198
39    9246
40    9304
41    9368
42    9425
43    9482
44    9530
45    9608
46    9693
47    9760
48    9819
49    9873
0    9876
1    9808
2    9692
3    9538
4    9343
5    9109
6    8936
7    8654
8    8392
9    8166
10    7979
11    7814
12    7670
13    7550
14    7444
15    7407
16    7388
17    7369
18    7372
19    7398
20    7434
21    7541
22    7604
23    7670
24    7739
25    7805
26    7867
27    7965
28    8023
29    8118
30    8228
31    8345
32    8476
33    8622
34    8748
35    8874
36    8976
37    9069
38    9178
39    9290
40    9396
41    9500
42    9604
43    9696
44    9787
45    9852
46    9900
47    9938
48    9967
49    9984
0    9871
1    9790
2    9648
3    9460
4    9230
5    8960
6    8752
7    8451
8    8180
9    7947
10    7731
11    7539
12    7384
13    7266
14    7186
15    7143
16    7126
17    7167
18    7219
19    7328
20    7448
21    7563
22    7668
23    7807
24    7931
25    8063
26    8171
27    8295
28    8414
29    8533
30    8614
31    8732
32    8855
33    8946
34    9033
35    9121
36    9208
37    9302
38    9350
39    9391
40    9454
41    9502
42    9547
43    9592
44    9634
45    9675
46    9722
47    9759
48    9804
49    9847
0    9870
1    9790
2    9650
3    9467
4    9247
5    8986
6    8785
7    8490
8    8228
9    8018
10    7838
11    7675
12    7596
13    7578
14    7630
15    7683
16    7774
17    7889
18    8023
19    8113
20    8179
21    8196
22    8223
23    8217
24    8197
25    8174
26    8143
27    8131
28    8122
29    8122
30    8128
31    8142
32    8179
33    8223
34    8289
35    8381
36    8491
37    8645
38    8810
39    8966
40    9137
41    9273
42    9389
43    9464
44    9568
45    9657
46    9736
47    9802
48    9865
49    9922
0    9868
1    9783
2    9630
3    9434
4    9194
5    8923
6    8715
7    8419
8    8149
9    7926
10    7720
11    7552
12    7419
13    7306
14    7225
15    7159
16    7141
17    7151
18    7152
19    7175
20    7265
21    7350
22    7494
23    7624
24    7763
25    7927
26    8071
27    8168
28    8280
29    8353
30    8421
31    8478
32    8537
33    8675
34    8825
35    8970
36    9118
37    9289
38    9456
39    9638
40    9737
41    9821
42    9888
43    9944
44    9969
45    9998
46    10000
47    10000
48    10000
49    10000
0    9867
1    9789
2    9646
3    9458
4    9226
5    8955
6    8754
7    8459
8    8182
9    7944
10    7726
11    7530
12    7357
13    7197
14    7083
15    6999
16    6980
17    6998
18    7067
19    7165
20    7307
21    7466
22    7635
23    7766
24    7886
25    7983
26    8067
27    8120
28    8161
29    8220
30    8303
31    8389
32    8539
33    8699
34    8884
35    9051
36    9222
37    9361
38    9543
39    9655
40    9757
41    9838
42    9913
43    9953
44    10000
45    10000
46    10000
47    10000
48    10000
49    10000
0    9878
1    9828
2    9726
3    9591
4    9426
5    9233
6    9122
7    8910
8    8703
9    8526
10    8362
11    8205
12    8052
13    7898
14    7767
15    7632
16    7566
17    7513
18    7471
19    7447
20    7475
21    7522
22    7604
23    7653
24    7702
25    7796
26    7904
27    7989
28    8079
29    8167
30    8244
31    8337
32    8405
33    8496
34    8581
35    8639
36    8740
37    8844
38    8944
39    9041
40    9113
41    9185
42    9305
43    9385
44    9466
45    9551
46    9656
47    9755
48    9850
49    9900
0    9877
1    9814
2    9710
3    9572
4    9400
5    9192
6    9055
7    8823
8    8634
9    8475
10    8334
11    8216
12    8138
13    8089
14    8066
15    8055
16    8056
17    8073
18    8097
19    8112
20    8126
21    8123
22    8103
23    8103
24    8115
25    8127
26    8190
27    8266
28    8346
29    8430
30    8495
31    8546
32    8600
33    8610
34    8608
35    8612
36    8611
37    8608
38    8624
39    8645
40    8674
41    8720
42    8791
43    8879
44    8975
45    9064
46    9143
47    9261
48    9376
49    9469
0    9874
1    9796
2    9674
3    9512
4    9319
5    9095
6    8934
7    8680
8    8461
9    8275
10    8114
11    7960
12    7821
13    7710
14    7610
15    7521
16    7435
17    7346
18    7296
19    7296
20    7347
21    7407
22    7475
23    7551
24    7649
25    7738
26    7795
27    7787
28    7860
29    7941
30    8030
31    8115
32    8245
33    8382
34    8580
35    8683
36    8854
37    9036
38    9264
39    9442
40    9611
41    9742
42    9886
43    9952
44    9999
45    10000
46    10000
47    10000
48    10000
49    10000
0    9876
1    9808
2    9685
3    9521
4    9320
5    9077
6    8898
7    8611
8    8327
9    8086
10    7888
11    7708
12    7570
13    7493
14    7456
15    7467
16    7488
17    7509
18    7539
19    7593
20    7630
21    7666
22    7731
23    7814
24    7915
25    8043
26    8157
27    8271
28    8386
29    8475
30    8572
31    8662
32    8741
33    8814
34    8882
35    8948
36    9007
37    9047
38    9081
39    9112
40    9157
41    9213
42    9274
43    9344
44    9430
45    9513
46    9597
47    9668
48    9728
49    9783
0    9877
1    9814
2    9698
3    9546
4    9354
5    9125
6    8966
7    8701
8    8443
9    8215
10    8023
11    7889
12    7779
13    7682
14    7596
15    7543
16    7538
17    7531
18    7528
19    7548
20    7621
21    7723
22    7817
23    7928
24    8041
25    8133
26    8218
27    8259
28    8313
29    8376
30    8396
31    8457
32    8530
33    8604
34    8704
35    8784
36    8869
37    8958
38    9013
39    9061
40    9109
41    9143
42    9166
43    9247
44    9339
45    9438
46    9535
47    9632
48    9729
49    9840
0    9882
1    9833
2    9740
3    9616
4    9459
5    9278
6    9179
7    8985
8    8802
9    8641
10    8492
11    8358
12    8229
13    8117
14    8016
15    7936
16    7893
17    7865
18    7849
19    7846
20    7857
21    7870
22    7874
23    7874
24    7874
25    7882
26    7890
27    7935
28    7997
29    8074
30    8146
31    8265
32    8390
33    8527
34    8619
35    8698
36    8773
37    8840
38    8890
39    8938
40    8997
41    9056
42    9116
43    9178
44    9245
45    9291
46    9359
47    9424
48    9488
49    9553
0    9870
1    9784
2    9616
3    9392
4    9115
5    8797
6    8535
7    8172
8    7842
9    7582
10    7359
11    7174
12    7029
13    6909
14    6821
15    6746
16    6672
17    6637
18    6721
19    6860
20    7068
21    7291
22    7541
23    7811
24    8076
25    8258
26    8402
27    8514
28    8624
29    8733
30    8852
31    8961
32    9061
33    9148
34    9241
35    9341
36    9428
37    9502
38    9575
39    9671
40    9764
41    9833
42    9881
43    9926
44    9965
45    10000
46    10000
47    10000
48    10000
49    10000
0    10000
1    10000
2    10000
3    10000
4    10000
5    10000
6    10000
7    10000
8    10000
9    10000
10    10000
11    10000
12    10000
13    10000
14    10000
15    10000
16    10000
17    10000
18    10000
19    10000
20    10000
21    10000
22    10000
23    10000
24    10000
25    10000
26    10000
27    10000
28    10000
29    10000
30    10000
31    10000
32    10000
33    10000
34    10000
35    10000
36    10000
37    10000
38    10000
39    10000
40    10000
41    10000
42    10000
43    10000
44    10000
45    10000
46    10000
47    10000
48    10000
49    10000
0    10000
1    10000
2    10000
3    10000
4    10000
5    10000
6    10000
7    10000
8    10000
9    10000
10    10000
11    10000
12    10000
13    10000
14    10000
15    10000
16    10000
17    10000
18    10000
19    10000
20    10000
21    10000
22    10000
23    10000
24    10000
25    10000
0    9871
1    9802
2    9668
3    9490
4    9270
5    9005
6    8795
7    8485
8    8181
9    7922
10    7695
11    7502
12    7343
13    7222
14    7135
15    7095
16    7064
17    7016
18    7046
19    7137
20    7293
21    7451
22    7600
23    7767
24    7964
25    8111
26    8225
27    8283
28    8379
29    8503
30    8626
31    8753
32    8861
33    8958
34    9060
35    9126
36    9164
37    9197
38    9240
39    9282
40    9353
41    9447
42    9553
43    9655
44    9756
45    9842
46    9928
47    9979
48    10000
49    10000
0    10000
1    10000
2    10000
3    10000
4    10000
5    10000
6    10000
7    10000
8    10000
9    10000
10    10000
11    10000
12    10000
13    10000
14    10000
15    10000
16    10000
17    10000
18    10000
19    10000
20    10000
21    10000
22    10000
23    10000
24    10000
25    10000
26    10000
27    10000
28    10000
29    10000
30    10000
31    10000
32    10000
33    10000
34    10000
35    10000
36    10000
37    10000
38    10000
39    10000
40    10000
41    10000
42    10000
43    10000
44    10000
45    10000
46    10000
47    10000
48    10000
49    10000
0    10000
1    10000
2    10000
3    10000
4    10000
5    10000
6    10000
7    10000
0    9869
1    9795
2    9663
3    9489
4    9272
5    9009
6    8806
7    8515
8    8238
9    7991
10    7765
11    7580
12    7415
13    7282
14    7199
15    7143
16    7138
17    7154
18    7192
19    7264
20    7342
21    7424
22    7601
23    7763
24    7937
25    8097
26    8259
27    8433
28    8575
29    8646
30    8740
31    8831
32    8920
33    9005
34    9083
35    9161
36    9222
37    9258
38    9287
39    9316
40    9342
41    9370
42    9400
43    9430
44    9454
45    9537
46    9623
47    9706
48    9784
49    9857
0    9873
1    9803
2    9671
3    9504
4    9302
5    9065
6    8904
7    8645
8    8412
9    8220
10    8034
11    7879
12    7748
13    7640
14    7555
15    7481
16    7425
17    7411
18    7410
19    7429
20    7442
21    7491
22    7547
23    7593
24    7666
25    7774
26    7877
27    8028
28    8161
29    8301
30    8463
31    8592
32    8687
33    8787
34    8863
35    8932
36    9001
37    9070
38    9141
39    9237
40    9329
41    9407
42    9480
43    9550
44    9614
45    9673
46    9718
47    9765
48    9816
49    9863
0    9875
1    9805
2    9677
3    9510
4    9310
5    9079
6    8916
7    8647
8    8390
9    8161
10    7955
11    7757
12    7561
13    7369
14    7222
15    7129
16    7065
17    7013
18    7018
19    7060
20    7136
21    7196
22    7252
23    7319
24    7447
25    7563
26    7685
27    7793
28    7970
29    8153
30    8332
31    8477
32    8617
33    8752
34    8958
35    9116
36    9281
37    9446
38    9598
39    9735
40    9863
41    9928
42    9974
43    9990
44    10000
45    10000
46    10000
47    10000
48    10000
49    10000
0    9882
1    9833
2    9737
3    9607
4    9443
5    9245
6    9110
7    8864
8    8619
9    8387
10    8156
11    7929
12    7708
13    7509
14    7336
15    7180
16    7044
17    6935
18    6867
19    6811
20    6783
21    6753
22    6769
23    6871
24    7007
25    7133
26    7347
27    7600
28    7878
29    8139
30    8326
31    8530
32    8765
33    8969
34    9104
35    9287
36    9460
37    9635
38    9765
39    9863
40    9920
41    9994
42    10000
43    10000
44    10000
45    10000
46    10000
47    10000
48    10000
49    10000
0    9891
1    9865
2    9817
3    9753
4    9672
5    9574
6    9555
7    9431
8    9310
9    9193
10    9076
11    8963
12    8851
13    8745
14    8636
15    8527
16    8418
17    8327
18    8240
19    8154
20    8061
21    8015
22    7980
23    7959
24    7927
25    7880
26    7891
27    7929
28    7929
29    7932
30    7929
31    7966
32    8061
33    8112
34    8148
35    8225
36    8358
37    8507
38    8628
39    8720
40    8817
41    8930
42    9015
43    9047
44    9076
45    9106
46    9138
47    9166
48    9194
49    9220
0    9882
1    9829
2    9731
3    9602
4    9438
5    9252
6    9142
7    8938
8    8756
9    8601
10    8464
11    8358
12    8258
13    8170
14    8097
15    8028
16    7965
17    7903
18    7833
19    7765
20    7722
21    7673
22    7626
23    7591
24    7567
25    7563
26    7579
27    7579
28    7579
29    7594
30    7650
31    7714
32    7807
33    7934
34    8074
35    8256
36    8445
37    8644
38    8843
39    9051
40    9237
41    9425
42    9578
43    9722
44    9818
45    9907
46    9950
47    9975
48    9988
49    9997
0    9875
1    9811
2    9697
3    9545
4    9359
5    9135
6    8975
7    8716
8    8476
9    8264
10    8065
11    7910
12    7780
13    7680
14    7602
15    7571
16    7582
17    7656
18    7727
19    7817
20    7929
21    8052
22    8151
23    8238
24    8286
25    8331
26    8371
27    8396
28    8416
29    8428
30    8433
31    8439
32    8441
33    8437
34    8451
35    8459
36    8520
37    8589
38    8678
39    8781
40    8897
41    8993
42    9116
43    9198
44    9297
45    9376
46    9455
47    9563
48    9676
49    9764
0    9872
1    9792
2    9661
3    9491
4    9282
5    9036
6    8847
7    8553
8    8274
9    8013
10    7782
11    7567
12    7369
13    7184
14    7069
15    6979
16    6931
17    6904
18    6887
19    6926
20    7038
21    7154
22    7296
23    7440
24    7596
25    7775
26    7954
27    8168
28    8353
29    8532
30    8713
31    8900
32    9083
33    9234
34    9314
35    9389
36    9461
37    9524
38    9562
39    9597
40    9633
41    9665
42    9695
43    9723
44    9752
45    9779
46    9809
47    9848
48    9884
49    9915
0    9883
1    9827
2    9729
3    9604
4    9456
5    9280
6    9178
7    8973
8    8783
9    8609
10    8444
11    8278
12    8115
13    7961
14    7837
15    7721
16    7619
