0    109
1    135
2    183
3    247
4    328
5    426
6    445
7    569
8    690
9    807
10    924
11    1037
12    1149
13    1255
14    1364
15    1473
16    1582
17    1673
18    1760
19    1846
20    1939
21    1985
22    2020
23    2041
24    2073
25    2120
26    2109
27    2071
28    2071
29    2068
30    2071
31    2034
32    1939
33    1888
34    1852
35    1775
36    1642
37    1493
38    1372
39    1280
40    1183
41    1070
42    985
43    953
44    924
45    894
46    862
47    834
48    806
49    780
