0	709
1	796
2	1232
3	1913
4	2092
5	2658
6	3193
7	3443
8	3517
9	3435
10	3729
11	3972
12	4015
13	3853
14	3378
15	2724
16	1988
17	1309
18	717
19	395
20	180
21	51
22	1
23	0
24	0
25	0
26	0
27	0
28	0
29  0
